GENE	Par_RR_dS	Par_RR_Omega	Par_RR_dS_PP	Par_RR_Omega_PP	Sig
2062.38111262.pentatricopeptide__putative__expressed	-0.374	0.157	0.12	0.68	*
2063.38111274.expressed_protein	0.0465	-0.105	0.54	0.39	*
2069.38111344.Protein_of_unknown_function__DUF3414_	-0.157	-0.517	0.39	0.13	*
2070.38111349.expressed_protein	0.0232	-0.256	0.53	0.26	*
2076.38111443.	-0.451	-0.011	0.13	0.5	*
2079.38111482.hypothetical_protein	0.201	0.164	0.68	0.61	*
2081.38111544.purin_7	0.222	-0.408	0.67	0.23	*
2089.38111651.pentatricopeptide__putative__expressed	-0.0564	0.176	0.46	0.62	*
2090.38111710.pentatricopeptide__putative__expressed	-0.145	0.0845	0.39	0.55	*
2093.38111753.glyoxalase_family_protein__putative__expressed	-0.364	-0.164	0.19	0.38	*
2097.38111844.expressed_protein	-0.23	-0.579	0.33	0.13	*
2099.38111892.starch_binding_domain_containing_protein__putative__expressed	-0.319	-0.507	0.18	0.058	*
2119.38112420.Haloacid_dehalogenase_like_hydrolase__HAD__superfamily_protein	-0.474	-0.402	0.13	0.18	*
2120.38112435.Haloacid_dehalogenase_like_hydrolase__HAD__superfamily_protein	0.139	0.273	0.59	0.7	*
2126.38112610.Tetratricopeptide_repeat__TPR__like_superfamily_protein	-0.212	-0.328	0.32	0.23	*
213.38079192.selenium_binding_protein_2	-0.245	0.0173	0.34	0.52	*
2130.38112711.Nucleotide_excision_repair__TFIIH__subunit_TTDA	-0.229	0.151	0.34	0.6	*
2131.38112717.OsFBX332___F_box_domain_containing_protein__expressed	-0.249	0.0333	0.25	0.53	*
2132.38112720.Nuclear_pore_complex_protein	-0.11	-0.286	0.38	0.26	*
2135.38112784.expressed_protein	-0.324	0.207	0.25	0.63	*
2136.38112798.	-0.062	-0.399	0.44	0.14	*
2137.38112822.pentatricopeptide__putative__expressed	0.349	-0.732	0.78	0.0074	*
2138.38112844.sulfur_E2	0.0356	-0.0681	0.53	0.46	*
2139.38112855.sulfur_E2	0.159	0.294	0.71	0.83	*
215.38079192.selenium_binding_protein_2	-0.232	0.00895	0.35	0.5	*
2150.38113041.BIG__putative__expressed	0.16	0.374	0.62	0.81	*
2154.38113059.DTW_domain_containing_protein__putative__expressed	-0.0893	-0.497	0.41	0.14	*
2157.38113101.	-0.187	-0.15	0.26	0.34	*
2158.38113111.	-0.477	0.474	0.19	0.8	*
2159.38113165.expressed_protein	-0.0636	-0.743	0.45	0.059	*
2166.38113237.nucleotide_repair_protein__putative	-0.379	-0.179	0.21	0.35	*
2167.38113239.expressed_protein	0.0002	-0.00449	0.48	0.51	*
2169.38113265.expressed_protein	-0.407	-0.00678	0.14	0.53	*
2173.38113277.expressed_protein	-0.231	-0.112	0.28	0.39	*
2174.38113327.Aha1_domain_containing_protein	-0.014	-0.061	0.5	0.44	*
2177.38113371.DNA_glycosylase_superfamily_protein	0.356	0.603	0.74	0.85	*
2181.38113425.expressed_protein	-0.562	0.406	0.051	0.92	*
2182.38113427.DEGP_protease_5	-0.541	0.259	0.031	0.78	*
2183.38113478.hypoxia_responsive_family_protein__putative__expressed	-0.159	0.17	0.36	0.62	*
2184.38113502.hypoxia_responsive_family_protein__putative__expressed	-0.207	-0.58	0.31	0.06	*
2186.38113512.4Fe_4S_binding_domain_containing_protein__expressed	-0.435	-0.152	0.11	0.37	*
2188.38113534.vacuolar_ATP_synthase_subunit_C__putative__expressed	-0.186	-0.457	0.28	0.065	*
2189.38113549.	-0.151	0.439	0.37	0.8	*
2195.38113675.carbamoyl_phosphate_synthetase_A	0.351	-0.174	0.85	0.32	*
2198.38113691.general_transcription_factor_II_H2	-0.371	-0.44	0.17	0.1	*
2199.38113696.	-0.273	0.0655	0.26	0.55	*
2201.38113711.lipase_related__putative__expressed	-0.366	-0.287	0.19	0.22	*
2202.38113734.lipase_related__putative__expressed	-0.162	-0.212	0.35	0.37	*
2203.38113774.cyclopropyl_isomerase	-0.277	0.0957	0.26	0.58	*
221.38079359.aconitate_hydratase_protein__putative__expressed	-0.011	0.138	0.49	0.6	*
2213.38113935.	0.364	0.0966	0.76	0.56	*
2217.38114087.xylem_NAC_domain_1	0.209	-0.278	0.7	0.23	*
2219.38114193.Adenine_nucleotide_alpha_hydrolases_like_superfamily_protein	-0.13	-0.0205	0.37	0.51	*
2222.38114298.receptor_like_protein_56	-0.175	-0.839	0.38	0.009	*
2227.38114357.Cytochrome_c_oxidase__subunit_Vib_family_protein	0.152	0.0132	0.65	0.5	*
2229.38114373.	0.277	-0.0898	0.72	0.44	*
223.38079359.aconitate_hydratase_protein__putative__expressed	-0.0235	0.128	0.48	0.6	*
223.38079393.WD_domain__G_beta_repeat_domain_containing_protein__expressed	-0.167	-0.165	0.33	0.34	*
2233.38114487.MATE_efflux_family_protein	-0.388	0.00191	0.15	0.5	*
2235.38114552.60S_ribosomal_protein_L44__putative__expressed	-0.212	0.00321	0.33	0.49	*
2239.38114591.	0.225	-0.29	0.65	0.3	*
2242.38114620.	-0.448	0.388	0.21	0.75	*
2243.38114639.	-0.318	0.0581	0.26	0.54	*
2244.38114675.delta14_sterol_reductase__putative__expressed	-0.296	0.193	0.21	0.7	*
2245.38114685.	-0.273	-0.627	0.3	0.11	*
2246.38114692.Predicted_eukaryotic_LigT	0.14	-0.561	0.62	0.089	*
2247.38114718.thiol_disulphide_oxidoreductase_DCC__putative__expressed	-0.686	-0.169	0.052	0.32	*
2248.38114793.	-0.453	-0.197	0.092	0.29	*
225.38079434.	-0.0548	-0.272	0.45	0.32	*
2252.38114875.expressed_protein	-0.12	-0.733	0.4	0.084	*
2253.38114882.	-0.452	-0.065	0.17	0.45	*
2255.38114902.expressed_protein	-0.0496	-0.138	0.46	0.41	*
226.38079393.WD_domain__G_beta_repeat_domain_containing_protein__expressed	-0.176	-0.185	0.32	0.33	*
2260.38114945.rotamase_cyclophilin_2	-0.502	-0.432	0.094	0.14	*
2263.38115027.expressed_protein	-0.271	-0.173	0.3	0.39	*
2269.38115130.30S_ribosomal_protein_S16__putative__expressed	0.233	-0.504	0.67	0.16	*
2271.38115197.30S_ribosomal_protein_S16__putative__expressed	0.499	0.0154	0.93	0.52	*
2272.38115207.30S_ribosomal_protein_S16__putative__expressed	-0.332	-0.665	0.24	0.078	*
2273.38115211.expressed_protein	-0.12	-0.085	0.41	0.44	*
2279.38115365.expressed_protein	-0.273	-0.509	0.29	0.081	*
228.38079434.	-0.0582	-0.276	0.45	0.33	*
228.38079527.expressed_protein	-0.179	-0.479	0.39	0.2	*
2282.38115428.ARF_GAP_domain_15	-0.00158	0.0138	0.49	0.51	*
2283.38115433.RNA_polymerase_I_associated_factor_PAF67	-0.557	-0.256	0.041	0.19	*
2289.38115488.Divergent_PAP2_family_domain_containing_protein__expressed	0.14	0.103	0.64	0.61	*
229.38079544.expressed_protein	-0.0983	-0.252	0.41	0.34	*
2294.38115592.expressed_protein	-0.126	-0.14	0.37	0.39	*
230.38079589.glutamate__cysteine_ligase__chloroplast_precursor__putative__expressed	-0.034	-0.127	0.46	0.35	*
2301.38115719.copper_ion_transmembrane_transporters	0.465	-0.333	0.81	0.27	*
2307.38115809.DUF581_domain_containing_protein__expressed	-0.418	0.198	0.25	0.65	*
231.38079527.expressed_protein	-0.0946	-0.461	0.45	0.2	*
231.38079594.glutamate__cysteine_ligase__chloroplast_precursor__putative__expressed	-0.361	-0.692	0.21	0.047	*
2312.38115906.expressed_protein	-nan	-nan	0.16	0.77	*
232.38079544.expressed_protein	-0.0395	-0.291	0.46	0.32	*
2320.38116032.TOM2B__putative__expressed	0.591	-0.665	0.9	0.063	*
2321.38116033.REV1__putative__expressed	-0.146	-0.0445	0.33	0.47	*
2322.38116034.	0.551	-0.769	0.89	0.034	*
2323.38116053.	0.111	0.538	0.58	0.81	*
2324.38116060.CHCH_domain_containing_protein__expressed	-0.863	-0.147	0.016	0.38	*
2329.38116154.ARM_repeat_superfamily_protein	0.304	0.0766	0.82	0.6	*
233.38079589.glutamate__cysteine_ligase__chloroplast_precursor__putative__expressed	-0.0522	-0.118	0.43	0.35	*
2334.38116207.MORN_repeat_domain_containing_protein__expressed	0.123	-0.45	0.6	0.22	*
2339.38116292.ribosomal_protein_L35__putative__expressed	-0.427	0.318	0.18	0.77	*
234.38079594.glutamate__cysteine_ligase__chloroplast_precursor__putative__expressed	-0.297	-0.732	0.25	0.037	*
2348.38116423.HEAT_repeat_family_protein__putative__expressed	-0.268	-0.305	0.2	0.15	*
2349.38116432.glycine_tRNA_ligases	-0.298	-0.0145	0.19	0.5	*
2350.38116439.ribosomal_protein_L14__putative__expressed	-0.555	0.257	0.16	0.68	*
2352.38116463.ribosomal_protein_L14__putative__expressed	-nan	-nan	0.31	0.58	*
2355.38116499.EamA_like_transporter_family_protein	0.702	-0.332	0.95	0.25	*
236.38079789.zinc_ion_binding	-0.417	0.485	0.14	0.88	*
2363.38116548.ternary_complex_factor_MIP1__putative__expressed	-0.482	-0.139	0.077	0.33	*
2371.38116708.tRNAHis_guanylyltransferase_family_protein__expressed	0.701	-0.675	0.96	0.048	*
2373.38116800.50S_ribosomal_protein__putative__expressed	-0.0323	0.199	0.49	0.61	*
2378.38116871.alpha_amylase_precursor__putative__expressed	-0.638	-0.692	0.057	0.021	*
2379.38116876.chloroplast_ribosomal_protein_S15	0.0443	-0.291	0.55	0.32	*
238.38079812.expressed_protein	0.336	-0.326	0.72	0.28	*
2385.38116989.	0.0879	-0.272	0.55	0.32	*
2388.38117068.sialin__putative__expressed	-nan	-nan	0.9	0.13	*
2389.38117106.origin_recognition_complex_protein_6	0.258	-0.479	0.71	0.13	*
239.38079789.zinc_ion_binding	-0.353	0.543	0.18	0.9	*
239.38079816.expressed_protein	-0.0866	-0.451	0.42	0.2	*
2391.38117132.WD_domain__G_beta_repeat_domain_containing_protein__expressed	-0.0959	-0.0105	0.43	0.5	*
2392.38117140.cytochrome_c_oxidase_subunit_3	-nan	-nan	0.43	0.52	*
2393.38117147.cytochrome_c_oxidase_subunit_3	-0.237	0.752	0.35	0.95	*
2394.38117175.	-0.265	0.337	0.25	0.75	*
2395.38117176.expressed_protein	0.314	0.078	0.79	0.59	*
2396.38117193.pseudouridine_synthase_and_archaeosine_transglycosylase__PUA__domain_containing_protein	-0.464	-0.0011	0.099	0.49	*
2401.38117284.Basic_leucine_zipper__bZIP__transcription_factor_family_protein	-0.374	-0.525	0.15	0.066	*
2405.38117340.succinate_dehydrogenase_5	-0.157	-0.673	0.39	0.11	*
2407.38117458.	-0.139	-0.0917	0.4	0.45	*
241.38079812.expressed_protein	0.383	-0.372	0.76	0.24	*
241.38079845.urease_accessory_protein_F	-0.181	-0.444	0.34	0.13	*
2410.38117536.expressed_protein	-0.769	-0.152	0.0084	0.34	*
2412.38117582.	-0.356	-0.147	0.21	0.39	*
2413.38117607.	-0.752	-0.34	0.0036	0.14	*
2414.38117639.expressed_protein	0.353	-0.579	0.77	0.094	*
242.38079816.expressed_protein	-0.041	-0.503	0.46	0.17	*
242.38079874.S_adenosyl_L_methionine_dependent_methyltransferases_superfamily_protein	0.237	-0.177	0.67	0.39	*
2421.38117707.30S_ribosomal_protein__putative	-0.396	0.705	0.15	0.98	*
243.38079878.expressed_protein	0.0728	0.0372	0.56	0.52	*
2432.38117866.FAD_binding_domain_containing_protein__expressed	0.257	-0.0996	0.73	0.4	*
2435.38117963.	0.0151	-0.0925	0.51	0.45	*
2438.38118042.MYB_family_transcription_factor__putative__expressed	-0.281	0.0322	0.24	0.53	*
2439.38118045.MYB_family_transcription_factor__putative__expressed	-0.0755	-0.184	0.42	0.38	*
244.38079845.urease_accessory_protein_F	-0.161	-0.463	0.36	0.11	*
2442.38118075.Nucleotide_sugar_transporter_family_protein	-0.372	0.295	0.22	0.72	*
2443.38118101.expressed_protein	0.0149	0.456	0.5	0.8	*
2444.38118111.	0.165	0.0428	0.62	0.53	*
2448.38118180.Calmodulin_binding_protein_like	0.172	-0.343	0.66	0.14	*
245.38079874.S_adenosyl_L_methionine_dependent_methyltransferases_superfamily_protein	0.231	-0.17	0.67	0.4	*
245.38079945.	0.141	-0.178	0.59	0.39	*
2451.38118206.D6_protein_kinase	-0.0849	-0.331	0.43	0.24	*
2455.38118268.AP2_domain_containing_protein__expressed	-0.359	-0.0292	0.17	0.48	*
2457.38118307.expressed_protein	-0.635	-0.332	0.034	0.2	*
246.38079878.expressed_protein	0.0889	0.0269	0.58	0.52	*
2468.38118466.O_fucosyltransferase_family_protein	0.245	-0.391	0.68	0.25	*
2472.38118524.expressed_protein	-0.111	0.011	0.42	0.51	*
2473.38118533.	0.0197	-0.526	0.51	0.091	*
2476.38118565.DHHC_zinc_finger_domain_containing_protein__expressed	0.247	-0.536	0.69	0.13	*
2478.38118646.Nucleotidyltransferase_family_protein	-0.267	-0.176	0.18	0.29	*
248.38079945.	0.152	-0.2	0.6	0.37	*
248.38080058.conserved_hypothetical_protein	-0.0698	0.338	0.47	0.7	*
2481.38118704.Basic_leucine_zipper__bZIP__transcription_factor_family_protein	-0.203	-0.0985	0.33	0.44	*
2487.38118799.	-0.557	-0.762	0.13	0.065	*
2490.38118825.catalytic_LigB_subunit_of_aromatic_ring_opening_dioxygenase_family	-0.153	0.233	0.36	0.71	*
2494.38119001.histone_H3__putative__expressed	-0.305	-0.076	0.23	0.48	*
2495.38119074.RNA_binding	-0.0983	-0.472	0.39	0.094	*
2499.38119137.YL1_nuclear_protein_C_terminal_domain_containing_protein__expressed	0.0713	-0.0774	0.55	0.46	*
2500.38119178.ribosomal_protein_S6__putative__expressed	-0.379	0.157	0.17	0.61	*
2505.38119286.expressed_protein	0.295	-0.293	0.74	0.27	*
2509.38119298.Leucine_carboxyl_methyltransferase	0.0583	-0.226	0.56	0.28	*
2512.38119470.POLD1___Putative_DNA_polymerase_delta_catalytic_subunit__expressed	-0.447	-0.0382	0.088	0.47	*
2514.38119493.siroheme_synthase__putative__expressed	0.167	0.4	0.64	0.82	*
2518.38119553.antitermination_NusB_domain_containing_protein__putative__expressed	-0.646	0.214	0.026	0.73	*
252.38080058.conserved_hypothetical_protein	-0.0989	0.325	0.44	0.7	*
2520.38119569.MATE__putative__expressed	0.215	-0.328	0.65	0.28	*
2524.38119597.Carbohydrate_binding_like_fold	-0.0287	-0.315	0.45	0.29	*
2525.38119619.Carbohydrate_binding_like_fold	0.191	-0.144	0.63	0.41	*
2526.38119687.expressed_protein	-0.343	0.193	0.24	0.61	*
2527.38119709.catalytics	0.0735	-0.56	0.58	0.035	*
2528.38119728.nucleic_acid_binding_protein__putative__expressed	0.346	-0.736	0.73	0.067	*
2529.38119730.Cullin_family_protein	-0.477	0.27	0.12	0.74	*
253.38080117.WRKY_family_transcription_factor	0.276	-0.35	0.68	0.28	*
2539.38119977.Nucleic_acid_binding__OB_fold_like_protein	-0.51	0.23	0.064	0.73	*
254.38080141.WRKY_family_transcription_factor	-0.014	-0.116	0.49	0.38	*
2542.38120030.tetratricopeptide_repeat_containing_protein__putative__expressed	-0.382	-0.574	0.21	0.13	*
2547.38120208.pentatricopeptide__putative__expressed	0.498	-0.356	0.87	0.24	*
2551.38120328.oxoprolinase_1	-0.234	-0.237	0.27	0.3	*
2552.38120334.oxoprolinase_1	0.156	0.312	0.68	0.78	*
2555.38120361.queuine_tRNA_ribosyltransferase__putative__expressed	-0.526	0.136	0.06	0.64	*
2564.38120515.tim44_like_domain_containing_protein__expressed	-0.425	-0.215	0.072	0.27	*
2565.38120543.phosphoribosylformylglycinamidine_synthase__putative__expressed	-0.238	-0.612	0.26	0.05	*
257.38080117.WRKY_family_transcription_factor	0.32	-0.445	0.71	0.23	*
2571.38120645.Auxin_responsive_GH3_family_protein	-0.28	-0.0937	0.28	0.44	*
2575.38120758.expressed_protein	-0.262	-0.527	0.27	0.092	*
2577.38120861.histidine_kinase__putative__expressed	-0.253	0.761	0.28	0.98	*
2579.38120892.	-0.201	-0.164	0.34	0.37	*
258.38080141.WRKY_family_transcription_factor	-0.0263	-0.0853	0.47	0.42	*
258.38080182.Lg106__putative__expressed	-0.541	-0.0979	0.067	0.43	*
2580.38120919.expressed_protein	0.42	-0.497	0.92	0.074	*
2581.38120934.expressed_protein	0.0976	-0.157	0.58	0.37	*
2585.38120996.ribosomal_RNA_large_subunit_methyltransferase_J__putative__expressed	-0.378	-0.279	0.22	0.33	*
2586.38121002.ARM_repeat_superfamily_protein	0.0465	0.676	0.54	0.9	*
2588.38121038.F_box_associated_ubiquitination_effector_family_protein	0.528	-0.694	0.83	0.091	*
2592.38121085.chromatin_remodeling_1	-0.179	0.289	0.37	0.69	*
260.38080199.protein_kinase_domain_containing_protein__expressed	-0.366	-0.0411	0.17	0.45	*
2600.38121223.FAD_dependent_oxidoreductase_family_protein	-0.276	-0.768	0.31	0.054	*
2609.38121395.expressed_protein	-0.0296	-0.935	0.48	0.00029	*
2619.38121575.AMP_dependent_synthetase_and_ligase_family_protein	0.0451	0.17	0.53	0.61	*
262.38080182.Lg106__putative__expressed	-0.509	0.00418	0.081	0.52	*
2623.38121604.Rhomboid_related_intramembrane_serine_protease_family_protein	0.253	-0.492	0.69	0.15	*
2624.38121632.expressed_protein	-0.406	-0.269	0.13	0.26	*
263.38080228.	-0.468	-0.442	0.094	0.14	*
2634.38121816.Fe_S_metabolism_associated_domain_containing_protein__expressed	-0.502	-0.292	0.11	0.24	*
264.38080199.protein_kinase_domain_containing_protein__expressed	-0.24	-0.0576	0.27	0.43	*
2647.38122073.	0.483	-0.0982	0.83	0.43	*
2648.38122085.expressed_protein	-0.259	-0.117	0.28	0.41	*
2651.38122096.expressed_protein	-0.632	-0.689	0.043	0.032	*
2652.38122104.expressed_protein	-0.353	-0.55	0.19	0.095	*
2661.38122219.transketolase__putative__expressed	-0.812	-0.674	0.0054	0.02	*
2663.38122234.	-0.582	-0.666	0.075	0.06	*
267.38080228.	-0.478	-0.452	0.087	0.12	*
2673.38122446.	-0.802	0.204	0.0021	0.73	*
2686.38122625.zinc_finger__C3HC4_type_domain_containing_protein__expressed	-0.173	0.0207	0.33	0.51	*
2690.38122782.translation_elongation_factor_Ts__EF_Ts___putative	-0.1	-0.315	0.38	0.2	*
2692.38122845.Disease_resistance_protein__TIR_NBS_LRR_class__family	0.172	0.227	0.64	0.76	*
2693.38122849.phosphoribosyl_transferase__putative__expressed	-0.133	0.0156	0.37	0.51	*
2694.38122878.KAZ1___Kazal_type_serine_protease_inhibitor_precursor__expressed	0.0466	0.128	0.54	0.59	*
2706.38123141.WRKY60__expressed	-0.0428	-0.231	0.45	0.35	*
2707.38123149.WD_domain__G_beta_repeat_domain_containing_protein__expressed	0.903	0.198	0.99	0.65	*
2719.38123408.KU70_homolog	-0.471	-0.577	0.095	0.014	*
272.38080385.expressed_protein	-0.0983	-0.319	0.4	0.31	*
2722.38123419.expressed_protein	0.124	-0.138	0.61	0.42	*
2725.38123474.Plant_self_incompatibility_protein_S1_family	-nan	-nan	0.51	0.41	*
2727.38123510.YELLOW_STRIPE_like_5	-0.173	0.593	0.37	0.91	*
2728.38123524.40S_ribosomal_protein_S29__putative__expressed	0.173	-0.0793	0.67	0.45	*
273.38080412.Domain_of_unknown_function__DUF3598_	-0.0645	-0.898	0.44	0.0028	*
2730.38123540.Integrase_type_DNA_binding_superfamily_protein	-0.382	0.0483	0.14	0.54	*
2732.38123567.ROTUNDIFOLIA_like_7	0.424	0.377	0.86	0.86	*
2733.38123575.ROTUNDIFOLIA_like_7	-0.0654	-0.302	0.44	0.22	*
2734.38123578.binding_RNA_binding	-0.102	-0.114	0.43	0.39	*
2737.38123642.seed_gene_3	0.724	0.355	0.98	0.82	*
2740.38123709.nudix_hydrolase_homolog_23	-0.272	0.171	0.27	0.68	*
2748.38123899.dynamin_related_protein_1A__putative__expressed	-0.73	0.71	0.067	0.93	*
2752.38123916.RGH1A__putative__expressed	0.0112	-0.165	0.51	0.39	*
276.38080385.expressed_protein	-0.142	-0.305	0.37	0.31	*
2765.38124099.proline_rich_family_protein	0.118	0.05	0.61	0.57	*
277.38080412.Domain_of_unknown_function__DUF3598_	-0.0494	-0.905	0.47	0.0035	*
277.38080458.	0.361	-0.662	0.74	0.1	*
2775.38124277.cytochrome_c_oxidase_15	-0.054	0.0791	0.44	0.6	*
2779.38124348.DUF260_domain_containing_protein__putative__expressed	-0.00722	-0.87	0.5	0.015	*
278.38080497.	0.0697	-0.669	0.57	0.061	*
2780.38124383.expressed_protein	-0.621	0.117	0.026	0.64	*
2781.38124384.RHOMBOID_like_protein_15	0.18	-0.148	0.66	0.37	*
2782.38124412.RHOMBOID_like_protein_15	-0.362	0.0675	0.25	0.54	*
2783.38124418.PapD_like_superfamily_protein	-0.131	0.217	0.42	0.65	*
2789.38124521.expressed_protein	-0.311	0.731	0.26	0.95	*
279.38080498.WD_domain__G_beta_repeat_domain_containing_protein__expressed	0.0531	-0.671	0.54	0.1	*
2790.38124527.expressed_protein	-0.324	0.457	0.25	0.81	*
2798.38124653.	-0.0937	-0.0312	0.42	0.48	*
280.38080508.WD_domain__G_beta_repeat_domain_containing_protein__expressed	-0.0311	0.438	0.48	0.75	*
2802.38124756.transmembrane_amino_acid_transporter_protein__putative__expressed	-0.0669	-0.223	0.44	0.36	*
2804.38124766.cofactor_assembly_of_complex_C	-0.28	-0.241	0.29	0.35	*
2805.38124767.TBP_associated_factor_II_15	-0.661	0.412	0.071	0.81	*
2806.38124779.	-0.01	-0.617	0.48	0.033	*
2807.38124781.OB_fold_nucleic_acid_binding_domain_containing_protein__putative__expressed	0.699	-0.718	0.94	0.054	*
2808.38124790.OB_fold_nucleic_acid_binding_domain_containing_protein__putative__expressed	-0.0292	-0.0696	0.48	0.45	*
281.38080458.	0.391	-0.67	0.76	0.1	*
281.38080536.WD_domain__G_beta_repeat_domain_containing_protein__expressed	-0.0749	-0.527	0.44	0.099	*
2814.38124898.	-0.423	-0.788	0.23	0.028	*
2815.38124902.recovery_protein_3	-0.241	-0.712	0.24	0.014	*
2816.38124919.integral_membrane_TerC_family_protein	-0.0753	-0.481	0.42	0.21	*
282.38080497.	0.043	-0.654	0.53	0.064	*
2821.38125001.expressed_protein	-0.38	-0.635	0.17	0.017	*
2824.38125051.Zinc_binding_ribosomal_protein_family_protein	-0.191	0.0855	0.3	0.58	*
2825.38125054.expressed_protein	-0.471	-0.38	0.088	0.19	*
283.38080498.WD_domain__G_beta_repeat_domain_containing_protein__expressed	0.0173	-0.649	0.51	0.1	*
2830.38125155.biotin__protein_ligase__putative__expressed	-0.437	-0.357	0.17	0.25	*
2834.38125210.Phosphatidylinositol_N_acetyglucosaminlytransferase_subunit_P_related	-0.473	-0.659	0.17	0.071	*
2837.38125225.expressed_protein	-0.0747	0.045	0.43	0.52	*
2838.38125226.expressed_protein	-0.183	-0.644	0.34	0.11	*
284.38080508.WD_domain__G_beta_repeat_domain_containing_protein__expressed	-0.036	0.492	0.48	0.79	*
2844.38125299.SCO1_protein_homolog__mitochondrial_precursor__putative__expressed	0.109	-0.0987	0.61	0.44	*
2845.38125308.SCO1_protein_homolog__mitochondrial_precursor__putative__expressed	0.135	-0.203	0.6	0.38	*
285.38080536.WD_domain__G_beta_repeat_domain_containing_protein__expressed	-0.0827	-0.527	0.43	0.098	*
285.38080589.F_box_family_protein	-0.00785	0.498	0.49	0.95	*
2850.38125479.expressed_protein	-0.184	-0.099	0.33	0.43	*
2852.38125511.Protein_kinase_superfamily_protein	-nan	-nan	0.71	0.3	*
2856.38125724.ubiquitin_conjugating_enzyme_14	-0.178	-0.0956	0.43	0.41	*
2859.38125751.urophorphyrin_methylase_1	0.268	-0.373	0.71	0.18	*
286.38080629.F_box_family_protein	0.184	-0.117	0.64	0.42	*
2866.38125839.Protein_of_unknown_function__DUF620_	0.285	-0.362	0.71	0.26	*
2868.38125862.nudix_hydrolase_homolog_4	0.298	-0.223	0.7	0.35	*
287.38080649.hydroxyproline_rich_glycoprotein_family_protein	0.182	-0.64	0.63	0.063	*
2872.38125878.postsynaptic_protein_related	-0.856	0.717	0.011	0.97	*
2873.38125886.DNA_binding	0.072	0.194	0.55	0.63	*
2875.38125922.cytochrome_P450__family_718	-0.153	0.0783	0.38	0.53	*
2876.38125933.Nucleic_acid_binding__OB_fold_like_protein	0.31	-0.398	0.76	0.24	*
2877.38125955.	0.00805	0.0913	0.51	0.55	*
288.38080657.microtubule_associated_protein__putative__expressed	-0.691	0.221	0.0081	0.75	*
2881.38126029.cyclase_family_protein__putative__expressed	-0.0351	0.846	0.49	0.96	*
2883.38126077.Serine_protease_inhibitor__SERPIN__family_protein	-0.44	0.349	0.17	0.78	*
2884.38126080.golgin_candidate_5	0.0393	-0.447	0.51	0.19	*
289.38080589.F_box_family_protein	-0.0259	0.547	0.48	0.96	*
289.38080661.microtubule_associated_protein__putative__expressed	-0.0584	0.0245	0.44	0.51	*
2890.38126199.E3_ubiquitin_ligase__putative	-0.103	-0.17	0.4	0.33	*
2891.38126210.photosynthetic_reaction_center_protein__putative__expressed	0.673	-0.601	0.97	0.064	*
2892.38126217.expressed_protein	0.194	-0.61	0.61	0.12	*
2893.38126218.uncharacterized_ACR__YggU_family_COG1872_containing_protein__expressed	-0.754	-0.0682	0.0075	0.41	*
2898.38126258.YELLOW_STRIPE_like_6	-0.161	-0.195	0.33	0.25	*
2899.38126262.expressed_protein	-0.187	-0.0933	0.34	0.42	*
29.38075848.	0.078	-0.779	0.57	0.051	*
290.38080629.F_box_family_protein	0.212	-0.183	0.66	0.39	*
2903.38126341.expressed_protein	-0.251	-0.165	0.31	0.38	*
2905.38126370.Arabidopsis_thaliana_protein_of_unknown_function__DUF794_	0.374	-0.563	0.82	0.06	*
291.38080649.hydroxyproline_rich_glycoprotein_family_protein	0.146	-0.649	0.6	0.063	*
2910.38126437.magnesium_chelatase__putative__expressed	-0.279	0.0938	0.19	0.61	*
2911.38126439.exosome_complex_exonuclease__putative__expressed	-0.616	0.256	0.076	0.75	*
292.38080657.microtubule_associated_protein__putative__expressed	-0.682	0.213	0.0043	0.75	*
2920.38126582.MADS_box_transcription_factor_family_protein	-0.154	-0.64	0.32	0.025	*
2927.38126707.	-0.607	-0.49	0.038	0.083	*
2928.38126734.NAC_domain_containing_protein_49	-0.36	-0.463	0.24	0.19	*
293.38080661.microtubule_associated_protein__putative__expressed	0.0098	0.127	0.5	0.59	*
293.38080809.hydroxyproline_rich_glycoprotein_family_protein	-0.468	0.411	0.09	0.89	*
2930.38126762.patatin_like_phospholipase_family_protein__expressed	0.0304	-0.779	0.53	0.014	*
2931.38126777.transcription_regulators	0.197	0.119	0.69	0.62	*
2932.38126844.Cox19_family_protein__CHCH_motif_	0.404	-0.0153	0.79	0.52	*
2933.38126849.Cox19_family_protein__CHCH_motif_	-0.475	0.0919	0.16	0.56	*
2945.38127075.expressed_protein	-0.0924	-0.946	0.45	0.01	*
2948.38127107.expressed_protein	-0.214	-0.0885	0.35	0.43	*
2952.38127221.	0.00242	0.0983	0.5	0.56	*
2954.38127242.	-0.564	0.365	0.064	0.85	*
2955.38127305.	0.167	-0.321	0.61	0.28	*
2961.38127372.expressed_protein	-0.493	-0.258	0.17	0.37	*
2962.38127376.expressed_protein	-0.248	-0.0621	0.27	0.46	*
2967.38127501.tobamovirus_multiplication_protein__putative__expressed	-nan	-nan	0.39	0.57	*
297.38080809.hydroxyproline_rich_glycoprotein_family_protein	-0.476	0.427	0.092	0.9	*
2971.38127577.ubiquinol_cytochrome_C_chaperone_family_protein__putative__expressed	0.0851	-0.579	0.57	0.13	*
2972.38127602.Putative_membrane_lipoprotein	0.0704	-0.839	0.54	0.027	*
2974.38127638.Amidohydrolase_family	0.291	-0.606	0.73	0.082	*
